2021-12-16 19:03:54.559259 | API is disabled on startup
2021-12-16 19:03:54.560259 | Settings loaded!
2021-12-16 19:03:57.537968 | Started VRCA loading process...
2021-12-16 19:03:57.538968 | Propting user to select VRCA...
2021-12-16 19:04:01.096950 | Loaded!
2021-12-16 19:04:06.486006 | Extract VRCA started...
2021-12-16 19:04:06.486006 | Deciding asset URL...
2021-12-16 19:04:06.497016 | Extracting loaded VRCA...
2021-12-16 19:04:06.498017 | Starting extract on new thread...
2021-12-16 19:04:06.499018 | VRCA extracted, thread closed!
