2021-12-16 18:51:56.630426 | API is disabled on startup
2021-12-16 18:51:56.631427 | Settings loaded!
2021-12-16 18:51:57.491209 | Started VRCA loading process...
2021-12-16 18:51:57.491209 | Propting user to select VRCA...
2021-12-16 18:51:59.504467 | Loaded!
2021-12-16 18:52:01.009791 | Extract VRCA started...
2021-12-16 18:52:01.010792 | Deciding asset URL...
2021-12-16 18:52:01.022803 | Extracting loaded VRCA...
2021-12-16 18:52:01.023805 | Starting extract on new thread...
2021-12-16 18:52:01.024805 | VRCA extracted, thread closed!
