2021-12-16 18:57:23.182097 | API is disabled on startup
2021-12-16 18:57:23.183098 | Settings loaded!
2021-12-16 18:57:25.138118 | Started VRCA loading process...
2021-12-16 18:57:25.139119 | Propting user to select VRCA...
2021-12-16 18:57:28.108268 | Loaded!
2021-12-16 18:57:29.131272 | Extract VRCA started...
2021-12-16 18:57:29.132272 | Deciding asset URL...
2021-12-16 18:57:29.144284 | Extracting loaded VRCA...
2021-12-16 18:57:29.145285 | Starting extract on new thread...
2021-12-16 18:57:29.145285 | VRCA extracted, thread closed!
2021-12-16 19:00:58.747162 | Extract VRCA started...
2021-12-16 19:00:58.748162 | Deciding asset URL...
2021-12-16 19:00:58.759173 | Extracting loaded VRCA...
2021-12-16 19:00:58.759173 | Starting extract on new thread...
2021-12-16 19:00:58.760173 | VRCA extracted, thread closed!
