2021-12-16 19:12:00.541467 | API is disabled on startup
2021-12-16 19:12:00.542468 | Settings loaded!
2021-12-16 19:12:06.728253 | Started VRCA loading process...
2021-12-16 19:12:06.729254 | Propting user to select VRCA...
2021-12-16 19:12:14.233559 | Loaded!
2021-12-16 19:12:16.375356 | Extract VRCA started...
2021-12-16 19:12:16.376356 | Deciding asset URL...
2021-12-16 19:12:16.387366 | Extracting loaded VRCA...
2021-12-16 19:12:16.387366 | Starting extract on new thread...
2021-12-16 19:12:16.388367 | VRCA extracted, thread closed!
2021-12-16 19:12:16.388367 | In asset ripper folder
2021-12-16 19:12:16.389368 | Old rip found!
2021-12-16 19:12:16.438413 | Old rip deleted!
2021-12-16 19:12:16.438413 | Returned to base!
2021-12-16 19:12:16.439414 | In asset ripper folder!
2021-12-16 19:13:36.972722 | Extract complete! Cleaning...
2021-12-16 19:13:37.313032 | Cleaned! Opening now...
2021-12-16 19:13:37.316034 | Thread code ended!
