2021-12-16 18:53:39.419289 | API is disabled on startup
2021-12-16 18:53:39.420290 | Settings loaded!
2021-12-16 18:53:40.651547 | Started VRCA loading process...
2021-12-16 18:53:40.652547 | Propting user to select VRCA...
2021-12-16 18:53:45.235026 | Loaded!
2021-12-16 18:53:46.239430 | Extract VRCA started...
2021-12-16 18:53:46.240432 | Deciding asset URL...
2021-12-16 18:53:46.251441 | Extracting loaded VRCA...
2021-12-16 18:53:46.252442 | Starting extract on new thread...
2021-12-16 18:53:46.253443 | VRCA extracted, thread closed!
