2021-12-16 18:54:04.114065 | API is disabled on startup
2021-12-16 18:54:04.115065 | Settings loaded!
2021-12-16 18:54:05.902293 | Started VRCA loading process...
2021-12-16 18:54:05.903294 | Propting user to select VRCA...
2021-12-16 18:54:09.009341 | Loaded!
2021-12-16 18:54:09.874443 | Extract VRCA started...
2021-12-16 18:54:09.874443 | Deciding asset URL...
2021-12-16 18:54:09.886453 | Extracting loaded VRCA...
2021-12-16 18:54:09.887455 | Starting extract on new thread...
2021-12-16 18:54:09.887455 | VRCA extracted, thread closed!
